Parameter,Mean (95% CI),SD (95% CI),Error (%)
ka,"1.88 (1.32, 2.89)","0.322 (0.092, 0.779)",25.0
CL,"3.48 (1.42, 5.88)","1.46 (0.314, 2.63)",0.559
V2,"63.3 (57.8, 71.2)","18.0 (10.8, 25.6)",5.57
Q,"4.11 (1.7, 6.32)","0.788 (0.192, 2.07)",2.73
V3,"69.4 (29.8, 104.0)","12.4 (2.78, 32.7)",0.926
