parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,2.5%,25.0%,50.0%,75.0%,97.5%,distribution
σ,0.22898417366644208,0.016293653486681547,0.00038382997100736894,1844.7140504965018,1228.3231542018195,1.0035838826687566,0.01760755690405118,0.19884211735141347,0.217758235506183,0.22838949993501656,0.23912026702925465,0.2629487039758933,posterior
w[1],-0.037172919080741454,0.5439690952349555,0.014768865451375918,1371.4772975220567,1472.8039044011734,1.000968774853865,0.013090573334243565,-1.2043778819706088,-0.3787090243643555,0.001172159176997851,0.34069302133651685,0.9435929534538051,posterior
w[2],-0.030372843615042347,0.5221200207413056,0.0150710749218077,1186.8008991864722,1431.9083265760107,1.0012502968248298,0.01132786100945055,-1.1295523789720585,-0.3358558776322488,0.004059402234435482,0.31822419681427866,0.8785768472342225,posterior
w[3],0.009423220701044127,0.5048913318997077,0.013995637944008233,1286.7695138450304,1510.412128560729,1.0032968347455336,0.012282048500322629,-1.0748437539346611,-0.27599118797394573,0.02666760812736752,0.3399452039218885,0.9704149243598011,posterior
w[4],-0.0404089755859497,0.5233201776148921,0.014018073007314967,1380.0626489322372,1240.8256032028291,1.0016517390336213,0.013172519402500237,-1.1436394038093365,-0.35483976524946714,-0.015189408865785707,0.30184180199108746,0.9547357073181539,posterior
w[5],-0.05411148170689675,0.5406348140772189,0.01485770223774453,1326.2818698116455,1404.032112374217,1.0042136654957619,0.01265918882508356,-1.178021138371114,-0.4115519455132989,-0.018760573696762994,0.31487524016847634,0.9557736860434917,posterior
w[6],-0.04234276895778477,0.5106023106137205,0.015592374786446601,1088.9216764393807,1303.1058527808307,1.0029288466942468,0.01039361649400391,-1.0933074631131385,-0.37488578837436604,-0.00497051654709996,0.29790665811779604,0.9421168079293123,posterior
w[7],0.11763470668378607,0.7325851228322399,0.03439458210743553,466.8639897939415,827.1556077855287,1.006495662872618,0.004456156369891965,-1.2207302818832004,-0.3952123582029211,0.08996356320366786,0.6394972750810737,1.5308649832530807,posterior
w[8],0.13789999402751713,0.7397700194823192,0.0355636671695092,449.4617760534561,868.3386775263564,1.007013314491064,0.004290054491603789,-1.222904158105567,-0.3945355076277061,0.09624544201723385,0.706640778352022,1.500831296975679,posterior
w[9],0.23269599711401412,0.7600565651288966,0.043442215003624766,321.94937689939684,1055.9633805719907,1.0178715608595528,0.0030729651419168285,-1.159097218354742,-0.3405732267338739,0.2048450489934919,0.8449966739399326,1.575067252106476,posterior
w[10],0.1388465855549228,0.7354656338989985,0.03990351270688231,354.81149563185454,882.2647193072834,1.0170302903500656,0.003386629812825417,-1.1890028719913428,-0.4111940958379245,0.09877695312840667,0.6983638905065185,1.557178532498633,posterior
w[11],0.11438848246417185,0.7171158178727828,0.035933477835714094,415.7002279585046,666.7042937753026,1.000859892276448,0.0039678048838173025,-1.1861983910194716,-0.4106248443124089,0.06207083030332183,0.6352917617508316,1.5168902332506018,posterior
w[12],0.09826979041630864,0.7186070817024723,0.03022152344510119,589.5890590007182,856.3007123872444,1.0030020580453876,0.0056275512747176425,-1.2108140534064435,-0.4371549936803132,0.041434858981210285,0.6033922963358929,1.4709190806563333,posterior
