Parameter,Mean (SD),Median (95% CI),rhat,ess_bulk,ess_tail
w[54],0.0604 (0.573),"0.0587 (-1.06, 1.15)",1.000149886595568,1753.291227850262,1748.5235864932238
w[55],0.038 (0.557),"0.0345 (-1.08, 1.13)",1.0010374858149473,1097.2675641155474,1507.4897725011058
w[56],-0.0391 (0.57),"-0.06 (-1.13, 1.08)",1.001642863708429,1730.111388503246,1545.4034337898595
w[57],0.14 (0.682),"0.108 (-1.19, 1.47)",1.004301875339423,789.5151846364791,1150.344914236391
w[58],0.144 (0.522),"0.16 (-0.875, 1.13)",1.0010146133956772,709.2054603174465,1135.7699996765225
w[59],0.0565 (0.592),"0.0799 (-1.07, 1.2)",1.0001785045166722,1524.1322526244035,1485.221676953808
w[60],0.0774 (0.583),"0.0703 (-1.15, 1.21)",1.0014344430508149,1282.266401235705,1096.9855742883194
w[61],0.229 (0.366),"0.229 (-0.484, 0.953)",1.0015491070779536,1492.3562555786054,1469.9993313801915
w[62],-0.351 (0.457),"-0.341 (-1.27, 0.494)",1.0019557283403155,1244.8532241173104,1387.1821026803952
w[63],-0.16 (0.272),"-0.168 (-0.691, 0.382)",1.000114100253035,815.332387777326,1173.0481248738786
w[64],0.014 (0.396),"0.021 (-0.813, 0.764)",1.0017669519624202,1021.8219382304918,1276.9590557778633
w[65],0.101 (0.377),"0.111 (-0.661, 0.814)",1.0000805255465337,1195.4251466833448,1279.5866698382627
ω_CL,0.171 (0.144),"0.134 (0.00766, 0.583)",1.0038721972420348,581.1741203422503,825.8133028674032
η_CL[1],0.374 (0.879),"0.37 (-1.34, 2.18)",1.0014253701654192,2159.6258472049713,1442.4089802087963
η_CL[2],-0.722 (0.949),"-0.75 (-2.55, 1.19)",1.001846722403148,1904.6887837715633,1370.6088124167247
η_CL[3],0.66 (0.821),"0.701 (-1.1, 2.17)",0.9993686798358344,1644.3263684374592,1380.536656537615
η_CL[4],-0.083 (0.904),"-0.0446 (-1.89, 1.66)",1.0102956883104497,1713.4886041941434,1260.0140238996928
η_CL[5],-0.0596 (0.925),"-0.0678 (-1.83, 1.81)",1.003230619478296,1776.950045424628,1528.306657343987
η_CL[6],0.000184 (0.943),"-0.00817 (-1.73, 1.9)",1.0023111109564034,2417.451874222606,1542.3800147440277
η_CL[7],0.497 (0.818),"0.553 (-1.21, 1.99)",1.0022192438817012,1701.244356157909,1465.1300738722966
η_CL[8],-0.533 (0.891),"-0.537 (-2.29, 1.3)",1.0004445781325941,1719.3363804878693,1320.0453913295428
η_CL[9],-0.1 (0.792),"-0.0982 (-1.63, 1.55)",1.0021531668379307,1408.0824217370296,1384.3793979937243
η_CL[10],-0.0919 (0.812),"-0.0876 (-1.72, 1.51)",1.0011004587474357,2063.3228877297583,1469.3469776330521
ω_V2,0.101 (0.0613),"0.0929 (0.00955, 0.248)",1.0098404343852587,744.1324522360381,502.80115529943146
η_V2[1],-0.249 (0.862),"-0.233 (-1.97, 1.44)",1.000727235903371,2021.8315084179346,1322.8396022134718
η_V2[2],0.19 (0.887),"0.199 (-1.58, 1.88)",1.0007976536198966,1811.314883738512,1516.104334364847
η_V2[3],0.0189 (0.8),"-0.00665 (-1.52, 1.55)",1.0008252450475847,1776.6440660432154,1496.1051327998307
η_V2[4],0.986 (0.863),"0.986 (-0.826, 2.61)",1.0021418943263725,1642.856826894218,1267.6527360504476
η_V2[5],0.285 (0.829),"0.269 (-1.29, 2.02)",1.0047657530673533,1890.0548456583108,1566.0860209521204
η_V2[6],0.189 (0.877),"0.207 (-1.55, 1.94)",0.9999470793082814,1829.9715568659528,1333.0049571413583
η_V2[7],-0.591 (0.793),"-0.612 (-2.13, 0.982)",1.0033564280730527,1630.4053097011092,1486.3437570107233
η_V2[8],0.129 (0.849),"0.135 (-1.58, 1.87)",0.9992220812263736,1729.6105575581942,1588.4435865020794
η_V2[9],-0.801 (0.727),"-0.792 (-2.23, 0.607)",1.0065796989753677,1356.0899868069102,986.3972031032444
η_V2[10],-0.143 (0.764),"-0.166 (-1.59, 1.4)",1.0006227714541749,1462.542374154201,1286.1582109000371
ω_ka,0.404 (0.215),"0.393 (0.0424, 0.857)",1.0024201311300682,1089.4266648023345,1124.809056290397
η_ka[1],-0.786 (0.856),"-0.864 (-2.37, 1.06)",1.001533388921608,2143.4365096855827,1290.6800506100456
η_ka[2],0.598 (0.832),"0.614 (-1.11, 2.25)",1.000967441951979,2286.9015628038096,1549.121579527763
η_ka[3],0.378 (0.829),"0.342 (-1.14, 2.01)",1.0022794979283294,1782.0355845103095,1475.3474073797997
η_ka[4],-0.587 (0.841),"-0.624 (-2.16, 1.17)",1.0028747438629364,1745.3136173143193,1423.4879076799791
η_ka[5],0.28 (0.854),"0.246 (-1.37, 2.01)",0.999227452317097,1984.116975491064,1527.3217273530836
η_ka[6],-0.0907 (0.837),"-0.134 (-1.67, 1.68)",1.0065911350536778,2208.378897578124,1330.876454041521
η_ka[7],0.111 (0.8),"0.0806 (-1.42, 1.84)",1.0043825930319226,1978.0976453066153,1603.5469255740184
η_ka[8],-0.884 (0.808),"-0.941 (-2.37, 0.935)",1.0026440811217574,1475.4025224979991,1252.282231275197
η_ka[9],0.809 (0.818),"0.802 (-0.793, 2.44)",1.001880105317278,1932.4105862249446,1198.1725160484639
η_ka[10],0.217 (0.802),"0.177 (-1.28, 1.85)",1.003236831180735,2212.6866579470725,1297.601115528733
σ,0.547 (0.477),"0.406 (0.016, 1.76)",1.000702828944388,1958.176879081055,2082.1697234896105
w[1],0.0309 (0.597),"0.0247 (-1.13, 1.2)",0.9992753027128684,1887.1280838253642,1784.3813239301712
w[2],-0.00769 (0.6),"-0.00745 (-1.17, 1.15)",1.0009029232766644,2056.109862803944,1894.2152421976184
w[3],-0.00768 (0.613),"0.000865 (-1.18, 1.21)",1.0003088357052246,1818.402484872831,1741.4857448866978
w[4],0.0115 (0.601),"0.0164 (-1.17, 1.16)",1.0012521093618012,1872.0808515383005,1963.7406216688385
w[5],-0.000674 (0.586),"-0.00304 (-1.14, 1.16)",1.0001696430996247,1982.2455037718698,1934.6309217716864
w[6],-0.0231 (0.596),"-0.0406 (-1.16, 1.14)",1.0016096749077066,1683.491840392461,2053.7243712056293
w[7],-0.0121 (0.608),"-0.0184 (-1.17, 1.19)",1.0014307362630954,1848.0719289940878,1764.0603882350224
w[8],0.0122 (0.612),"0.0147 (-1.23, 1.16)",1.0015835331107792,2043.6308329599253,2056.7230156394044
w[9],-0.00649 (0.584),"-0.0119 (-1.16, 1.14)",0.9999845288818122,1876.4208849402291,1882.712922777331
w[10],-0.0141 (0.613),"-0.00628 (-1.19, 1.21)",0.9995289780977866,2156.5487988110267,1873.9654874741316
w[11],-0.00126 (0.602),"-0.0111 (-1.22, 1.21)",1.0016261624361282,2139.260310291175,1856.3991756311668
w[12],-0.000381 (0.602),"0.0195 (-1.19, 1.17)",1.0011125493126427,2057.8871961495165,1652.5885441477644
w[13],-0.00317 (0.617),"0.00425 (-1.2, 1.19)",1.0003914262059308,1892.3140985348682,1883.061585632015
w[14],-0.0241 (0.604),"-0.0206 (-1.21, 1.18)",1.0022270976449303,1996.1440631881733,2063.1647667729358
w[15],0.01 (0.612),"-0.000569 (-1.23, 1.21)",1.0004826308277606,1953.0349406921898,1876.0935141706102
w[16],0.000248 (0.588),"-0.0061 (-1.13, 1.16)",0.9998129724003366,2037.873715215801,1809.381362302528
w[17],-0.0121 (0.602),"-0.0179 (-1.2, 1.12)",0.9995624708055838,1941.1023050918914,1956.3404640830186
w[18],0.0345 (0.593),"0.0414 (-1.19, 1.17)",1.0036142841176237,1897.4547815796357,1817.678524493498
w[19],-0.0161 (0.613),"-0.0129 (-1.23, 1.14)",1.0017405084236506,1935.5685967456,1926.5506771222872
w[20],-0.00506 (0.596),"-0.00798 (-1.22, 1.14)",1.001255097044571,2240.903167189205,1957.3268929939434
w[21],0.00192 (0.622),"0.00441 (-1.22, 1.24)",0.9995497509161277,1929.0024265150669,1852.5218577588032
w[22],-0.0118 (0.588),"-0.023 (-1.1, 1.14)",1.000371877923729,1951.9365062913212,2014.8910594648166
w[23],-0.0085 (0.611),"0.00942 (-1.2, 1.17)",1.0030314493095445,2012.8462391841358,1978.1363839575788
w[24],0.017 (0.599),"0.0225 (-1.17, 1.19)",0.9999939856194345,2029.8448836026469,1905.8962925028386
w[25],-0.00262 (0.594),"-0.0169 (-1.18, 1.23)",1.00061733130557,2221.5485964493723,1894.1230231393777
w[26],-0.00219 (0.6),"0.00175 (-1.19, 1.2)",1.0011102043220232,1971.3326721737765,1771.0288025318944
w[27],0.0122 (0.604),"0.0161 (-1.17, 1.17)",0.999668165308863,1936.244194139514,1853.6983265580632
w[28],0.00292 (0.59),"0.01 (-1.18, 1.16)",0.9993507690209089,2156.9291778700604,2086.1857656005614
w[29],-0.0259 (0.609),"-0.0148 (-1.18, 1.15)",0.9999374447225244,1873.4007281525774,1929.49057042704
w[30],0.00897 (0.594),"-0.00889 (-1.13, 1.17)",1.0005904195625788,1866.9385567744241,1839.231970759714
w[31],-0.00727 (0.597),"-0.0112 (-1.18, 1.17)",1.0012182418145699,1979.9277526642213,1845.2929498329977
w[32],0.0139 (0.614),"0.00885 (-1.18, 1.24)",1.000820509245031,2061.961877719556,2014.4012418728887
w[33],-0.0225 (0.61),"-0.0272 (-1.23, 1.16)",1.0003086506072107,2125.177126449971,1739.8114157749872
w[34],0.00757 (0.596),"0.0102 (-1.16, 1.17)",1.0003817875152154,2116.862424187931,2057.7967484116393
w[35],-0.00454 (0.593),"0.00246 (-1.15, 1.19)",1.0024579140361995,2109.6848896832294,2103.98792504281
w[36],0.00242 (0.609),"-0.011 (-1.17, 1.2)",1.000552340532201,2127.161560579351,1804.3907233946084
w[37],-0.0105 (0.614),"-0.00708 (-1.23, 1.17)",1.0040059549323288,2109.842623412054,1641.0326162899726
w[38],-0.0179 (0.591),"-0.0111 (-1.16, 1.16)",1.0022993142096257,2015.3235603722474,1862.4076184234814
w[39],-0.0184 (0.587),"-0.0203 (-1.18, 1.13)",1.0004405482460506,2064.287588286467,1968.5597622903622
w[40],0.00134 (0.597),"-0.00458 (-1.13, 1.17)",1.0008124107021898,1952.7753918153658,1835.5051955700205
w[41],0.0143 (0.597),"0.0139 (-1.11, 1.18)",1.0008123955534058,1969.0470476806665,1932.6324877570164
w[42],0.0103 (0.6),"0.00534 (-1.17, 1.16)",1.0005178646853865,1752.7712272365152,1652.153370488836
w[43],0.0036 (0.612),"-0.00118 (-1.16, 1.16)",1.0015166391997594,2032.059630158785,1977.8082601368926
w[44],0.0121 (0.593),"0.0289 (-1.13, 1.21)",1.0006470002793695,2102.97385218181,2057.553659287947
w[45],0.00463 (0.602),"0.0101 (-1.16, 1.18)",1.000086297769303,2038.3562410423908,1943.7229281466164
w[46],-0.0517 (0.59),"-0.0463 (-1.24, 1.11)",1.0031050233437093,1951.4472941507224,1836.3498507225554
w[47],0.00615 (0.606),"0.00422 (-1.12, 1.19)",1.002281308851955,1947.4594510666038,1810.4962623031533
w[48],-0.0141 (0.596),"-0.0173 (-1.17, 1.15)",1.0013831108135354,2031.9072720262884,2008.4421149229836
w[49],-0.0249 (0.608),"-0.0285 (-1.19, 1.14)",1.0011194485017851,1903.8909415857065,2038.251558544922
w[50],0.00357 (0.603),"0.00907 (-1.16, 1.23)",1.000243075958885,2106.9451374311907,1933.4714752687955
w[51],0.0107 (0.609),"0.0176 (-1.17, 1.21)",1.0006734967135906,2071.855295825978,2012.9907493751814
w[52],-0.00947 (0.597),"-0.0144 (-1.18, 1.15)",0.9991720140113645,1981.6523154630838,2054.173134152247
w[53],0.0119 (0.602),"0.0246 (-1.21, 1.19)",0.9991723633485673,2003.5413948271944,1822.9414412204944
w[54],0.0269 (0.582),"0.0234 (-1.1, 1.18)",1.0011393232706023,2024.2625625966473,2055.34648116097
w[55],-0.0168 (0.604),"-0.018 (-1.16, 1.23)",1.0012493560753708,2000.1664336265735,1795.0213716459496
w[56],0.0369 (0.606),"0.051 (-1.18, 1.22)",1.0027009853228985,1908.8522744089757,1880.1738642619607
w[57],0.0126 (0.59),"0.0331 (-1.16, 1.16)",1.0004146031047567,1909.8478421750447,1857.5969350574705
w[58],0.00626 (0.603),"-0.0035 (-1.18, 1.18)",1.0005902927205592,2025.9729884794933,1834.0083761969433
w[59],-0.0186 (0.6),"-0.0208 (-1.17, 1.19)",1.0000461099327531,1992.036014890842,2010.7990366664872
w[60],-0.00142 (0.606),"-0.0154 (-1.16, 1.21)",1.003727327002057,1851.0800877186507,1787.667033512846
w[61],0.00737 (0.612),"0.00236 (-1.26, 1.21)",1.0011878357988235,1829.9008670613393,1933.5156633104493
w[62],-0.0021 (0.598),"-0.00229 (-1.17, 1.17)",1.0012922627187768,2171.9613927778814,1729.1889626603904
w[63],-0.0107 (0.589),"-0.0191 (-1.19, 1.15)",1.0000548707381118,2070.077565348972,2016.0680755281048
w[64],-0.00297 (0.594),"-0.00073 (-1.18, 1.15)",1.00006419074027,1980.9848857239858,2054.626595352343
w[65],0.00666 (0.592),"0.00199 (-1.18, 1.19)",0.998886816180562,2049.166584887725,1754.7512750364067
ω_CL,0.365 (0.264),"0.312 (0.0128, 0.935)",1.0002628206835067,2128.428535616887,1941.1819066925736
η_CL[1],0.0165 (0.996),"4.0e-6 (-1.92, 2.0)",1.001505055619438,1981.837303054927,1916.3191483390754
η_CL[2],-0.0246 (0.969),"-0.0496 (-1.99, 1.84)",1.0021445422615345,1955.6955012106323,1874.9014300719705
η_CL[3],-0.00169 (1.01),"0.026 (-2.0, 1.98)",1.0007428319298455,1969.6499009321724,1712.357419131633
η_CL[4],0.00479 (1.02),"-0.0205 (-1.93, 2.13)",1.001209926860026,1935.4207185067994,2023.524360252627
η_CL[5],0.0113 (1.01),"0.0134 (-1.87, 2.0)",1.0018297132182716,1820.626828272206,1928.1101254514913
η_CL[6],-0.022 (1.01),"0.0143 (-1.9, 1.97)",0.9991729141202188,1833.2543509219058,1895.1302450412443
η_CL[7],0.0251 (1.01),"0.0322 (-1.9, 2.04)",1.001728121280749,1898.0623022491745,1945.7122019178075
η_CL[8],0.0164 (1.01),"0.0245 (-1.95, 1.96)",0.9994174556045183,1885.5658601243938,1935.7121726086903
η_CL[9],0.00699 (0.983),"0.00293 (-1.93, 1.9)",0.9991023095787841,2077.8018329487345,1908.3968072924415
η_CL[10],0.00606 (1.01),"0.00903 (-2.0, 2.01)",1.0017752393496333,1854.9130440613294,1867.3951071501092
ω_V2,0.358 (0.257),"0.301 (0.0145, 0.936)",1.000532385548985,2033.9591697119781,1932.09505291069
η_V2[1],0.0387 (0.996),"0.062 (-1.95, 2.04)",1.0009251085443227,1889.0497297791878,2009.1937863969963
η_V2[2],-0.0536 (1.01),"-0.0444 (-2.02, 1.93)",1.0028468322043924,2058.3457183438845,1818.8440988249351
η_V2[3],-0.0043 (1.0),"0.0182 (-1.96, 1.9)",0.9989827163853513,1730.8087332030423,1893.7457405940106
η_V2[4],0.00242 (0.987),"0.0305 (-1.98, 1.86)",1.0004957839720439,2145.3430661395937,2013.724502475451
η_V2[5],-0.00747 (0.984),"0.0154 (-2.01, 1.86)",1.0022125610888901,1946.786580255221,1744.376211611405
η_V2[6],0.00305 (1.01),"-0.0404 (-1.94, 1.98)",1.0005575440660068,1866.4309260487516,1810.3427628074185
η_V2[7],0.0113 (1.01),"0.00615 (-1.96, 1.99)",1.0004032533061449,1854.0833850694355,1801.1616275571596
η_V2[8],0.0127 (1.0),"-0.00744 (-1.9, 1.93)",1.0005834067284725,2167.33172205334,1847.4443476021697
η_V2[9],-0.0182 (1.01),"-0.0208 (-2.06, 1.99)",1.0013312780080308,1903.382545729787,1797.0428364781533
η_V2[10],-0.0033 (1.01),"-0.0016 (-1.97, 1.97)",1.000203290526994,1900.8654955826175,1973.7634808452606
ω_ka,0.37 (0.268),"0.312 (0.0118, 0.945)",1.0015972102972048,2127.690803333601,2004.336998919941
η_ka[1],-0.026 (0.957),"-0.00148 (-1.88, 1.86)",1.0007803960750794,1966.837774871078,1846.9644697510885
η_ka[2],0.0641 (0.987),"0.0407 (-1.86, 2.04)",1.0002173181791927,1682.396243241771,1722.7113170295083
η_ka[3],-0.024 (1.0),"-0.0187 (-1.97, 1.96)",1.0013329688843358,2051.625662669437,2090.040528582774
η_ka[4],-0.0341 (0.978),"-0.0389 (-1.91, 1.91)",1.0003414731591334,2022.6384571245353,1981.355676974644
η_ka[5],0.0241 (0.998),"0.00381 (-1.83, 1.94)",1.0001773249546944,2082.780627639049,1931.6183569096347
η_ka[6],0.0105 (0.97),"0.0122 (-1.93, 1.92)",1.000041600926597,1988.3452471131416,1973.0656992640702
η_ka[7],-0.0394 (1.01),"-0.0357 (-2.04, 1.93)",1.0010616983987088,1820.8562557400867,1970.7408291751692
η_ka[8],0.00934 (1.02),"0.0368 (-2.03, 2.07)",0.9996676117594484,2064.5198366367836,2010.4597080986216
η_ka[9],0.00718 (0.99),"0.0163 (-1.94, 1.95)",0.9995322728704715,2068.675880297022,1999.0798153462833
η_ka[10],0.00373 (0.997),"0.0243 (-1.88, 1.97)",0.9996843631228398,2045.8367015518002,1755.9951087725394
